directors,popularity,stars,title,writers
Frank Darabont,120,"Tim Robbins,Morgan Freeman,Bob Gunton",The Shawshank Redemption,"Stephen King,Frank Darabont"
Christopher Nolan,134,"Christian Bale,Heath Ledger,Aaron Eckhart",The Dark Knight,"Jonathan Nolan,Christopher Nolan"
Francis Ford Coppola,336,"Al Pacino,Robert De Niro,Robert Duvall",The Godfather: Part II,"Francis Ford Coppola,Mario Puzo"
Steven Spielberg,194,"Liam Neeson,Ralph Fiennes,Ben Kingsley",Schindler's List,"Thomas Keneally,Steven Zaillian"
Sidney Lumet,552,"Henry Fonda,Lee J. Cobb,Martin Balsam",12 Angry Men,"Reginald Rose,Reginald Rose"
Quentin Tarantino,186,"John Travolta,Uma Thurman,Samuel L. Jackson",Pulp Fiction,"Quentin Tarantino,Roger Avary"
Francis Ford Coppola,113,"Marlon Brando,Al Pacino,James Caan",The Godfather,"Mario Puzo,Francis Ford Coppola"
Sergio Leone,555,"Clint Eastwood,Eli Wallach,Lee Van Cleef","The Good, the Bad and the Ugly","Luciano Vincenzoni,Sergio Leone"
David Fincher,237,"Brad Pitt,Edward Norton,Meat Loaf",Fight Club,"Chuck Palahniuk,Jim Uhls"
Peter Jackson,169,"Elijah Wood,Ian McKellen,Orlando Bloom",The Lord of the Rings: The Fellowship of the Ring,"J.R.R. Tolkien,Fran Walsh"
Peter Jackson,266,"Elijah Wood,Viggo Mortensen,Ian McKellen",The Lord of the Rings: The Return of the King,"J.R.R. Tolkien,Fran Walsh"
Irvin Kershner,430,"Mark Hamill,Harrison Ford,Carrie Fisher",Star Wars: Episode V - The Empire Strikes Back,"Leigh Brackett,Lawrence Kasdan"
Christopher Nolan,164,"Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page",Inception,Christopher Nolan
Robert Zemeckis,212,"Tom Hanks,Robin Wright,Gary Sinise",Forrest Gump,"Winston Groom,Eric Roth"
Peter Jackson,359,"Elijah Wood,Ian McKellen,Viggo Mortensen",The Lord of the Rings: The Two Towers,"J.R.R. Tolkien,Fran Walsh"
Milos Forman,404,"Jack Nicholson,Louise Fletcher,Michael Berryman",One Flew Over the Cuckoo's Nest,"Lawrence Hauben,Bo Goldman"
Charles Chaplin,,"Charles Chaplin,Virginia Cherrill,Florence Lee",City Lights,Charles Chaplin
Alfred Hitchcock,"1,329","James Stewart,Grace Kelly,Wendell Corey",Rear Window,"John Michael Hayes,Cornell Woolrich"
"Olivier Nakache,Éric Toledano",640,"François Cluzet,Omar Sy,Anne Le Ny",The Intouchables,"Olivier Nakache,Éric Toledano"
James Cameron,568,"Arnold Schwarzenegger,Linda Hamilton,Edward Furlong",Terminator 2,"James Cameron,William Wisher"
Robert Zemeckis,177,"Michael J. Fox,Christopher Lloyd,Lea Thompson",Back to the Future,"Robert Zemeckis,Bob Gale"
